Utility Name,Fire Start Date,Fire Start Time,Latitude,Longitude,Material at Origin,Land Use at Origin,Fire Size,Suppressed by,Suppressing Agency,Utility Facility Identification,Other Companies,Voltage (Volts),Equipment Involved With,Equipment Type,Was There an Outage,Outage Date,Outage Time,Suspected Initiating Event,Equipment /Facility Failure,Contact From Object,Facility Contacted,Contributing Factor,Notes (Optional):
SCE,5/29/2014,18:00,33.9036301,-118.0386983,Other,Urban,Less Than .25 Acres,Fire Agency,Santa Fe Springs,"14051 Marquadt, Santa Fe",None,66kV,Other,Overhead,No,,,Unknown,,,,Unknown,
SCE,6/5/2014,9:20,34.555046,-118.117789,Other,Rural,Less Than .25 Acres,Fire Agency,LA County,700 East Ave. S. Palmdale,None,12kV,Conductor,Overhead,No,,,Contact From Object,,Other,Electric Facility,Unknown,
SCE,6/8/2014,18:00,33.6808854,-117.9487188,Other,Urban,Less Than .25 Acres,Fire Agency,Huntington Beach,"19391, 19381, 19371, Pitc",None,12kV,Other,Overhead,No,,,Contact From Object,,Balloons,Electric Facility,None,
SCE,6/13/2014,13:00,35.7151,-118.511067,Vegetation,Rural,1000 - 4999 Acres,Fire Agency,Cal Fire,West of Lake Isabella & So,None,66kV,Other,Overhead,No,,,Unknown,,,,Unknown,
SCE,6/18/2014,15:00,34.162642,-118.676722,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,LA County,Location of Fire 726730E C,None,16kV,Conductor,Overhead,Yes,6/18/2014,Unknown,Unknown,,,,Unknown,
SCE,6/27/2014,11:06,34.608417,-119.500274,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Ventura County,N Ventura Ave,None,16kV,Conductor,Overhead,Yes,6/27/2014,11:06,Contact From Object,,Animal,Electric Facility,Unknown,
SCE,7/3/2014,11:30,34.452932,-119.754773,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Fire Department,C/O  Foothill and Rose ln O,Phone & Cable,16kV,Conductor,Overhead,No,,,Other,,,,Other,
SCE,7/24/2014,13:00,33.5444395,-117.1158394,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Not provided,"39613 Liefer Rd., Temecul",None,12kV,Lightning Arrestor,Overhead,No,,,Equipment/Facility Failure,Lightning Arrestor,,,Unknown,
SCE,7/27/2014,18:00,36.050199,-119.057484,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Tulare County Fire,"1785 W. POPLAR AVE., P",Unknown,12kV,Conductor,Overhead,No,,,Contact From Object,,Vegetation,Electric Facility,Unknown,
SCE,7/29/2014,8:23,34.452932,-117.187271,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Riverside County,"UG-5057024,rouse rd, men",None,12kV,Conductor,Overhead,No,,,Equipment/Facility Failure,Conductor,,,Unknown,
SCE,7/30/2014,15:00,34.159337,-117.290808,Vegetation,Urban,.26 - 9.99 Acres,Fire Agency,San Bernardino Fire,3750 MAYFIELD PL SAAN,None,12kV,Other,Overhead,Yes,7/30/2014,15:00,Contact From Object,,Vegetation,Electric Facility,Human Error,Tree trimmer dropped palm frond on wires.
SCE,7/31/2014,16:00,33.7927568,-117.2831691,Other,Rural,Less Than .25 Acres,Fire Agency,Perris Fire Department,"22597 FORREST RD, Perr",Phone & Cable,12kV,Other,Overhead,No,,,Unknown,,,,Unknown,
