Utility Name,Fire Start Date,Fire Start Time,Latitude,Longitude,Material at Origin,Land Use at Origin,Fire Size,Suppressed by,Suppressing Agency,Utility Facility Identification,Other Companies,Voltage (Volts),Equipment Involved With,Equipment Type,Was There an Outage,Outage Date,Outage Time,Suspected Initiating Event,Equipment /Facility Failure,Contact From Object,Facility Contacted,Contributing Factor,Notes (Optional):
SDG&E,1/1/2014,18:45,33.1179,-117.078,Vegetation,Urban,Less Than .25 Acres,Customer,,P11112,,12kV,Other,Overhead,Yes,1/1/2014,18:45,Equipment/Facility Failure,Splice/Clamp/Connector,,,Other,
SDG&E,3/5/2014,9:49,33.2038,-117.1142,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,P515262,,12kV,Conductor,Overhead,Yes,3/12/2014,9:49,Equipment/Facility Failure,Splice/Clamp/Connector,,,,
SDG&E,4/15/2014,6:20,32.6778,-117.046,Vegetation,Urban,Less Than .25 Acres,Fire Agency,S.D.F.D.,Z180434,,12kV,Conductor,Overhead,No,,,Equipment/Facility Failure,Guy/Span Wire,,,None,
SDG&E,4/17/2014,16:42,33.2203,-117.338,Vegetation,Urban,Less Than .25 Acres,Fire Agency,OFD,TL23010,,230kV,Conductor,Overhead,No,,,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,4/27/2014,12:00,32.2415,-117.347,Vegetation,Rural,Less Than .25 Acres,Utility,,"TL 6912, Z122445",none,69kV,Other,Overhead,No,,,Equipment/Facility Failure,Other,,,None,
SDG&E,4/28/2014,13:30,33.2926,-116.948,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,"Circuit 214, P215546",none,12kV,Conductor,Overhead,Yes,4/28/2014,13:30,Equipment/Facility Failure,Splice/Clamp/Connector,,,None,
SDG&E,4/28/2014,16:20,33.2887,-116.956,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Cal Fire,P812595,,12kV,Conductor,Overhead,Yes,4/28/2014,16:20,Contact From Object,,Vehicle,Pole,Human Error,
SDG&E,4/29/2014,10:05,33.3181,-117.222,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,"Circuit 233, P213051",none,12kV,Conductor,Overhead,Yes,4/29/2014,10:05,Contact From Object,,Vehicle,Electric Facility,Outside Force,
SDG&E,4/29/2014,13:40,33.1264,-117.016,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Escondido FD,"Circuit 455, P316707",none,12kV,Conductor,Overhead,Yes,4/29/2014,13:40,Contact From Object,,Vehicle,Pole,Outside Force,
SDG&E,4/29/2014,16:49,32.7186,-117.096,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SD Fire-Rescue,"Circuit 323, P476600",none,12kV,Conductor,Overhead,Yes,4/29/2014,16:49,Contact From Object,,Vegetation,Electric Facility,Weather,
SDG&E,5/1/2014,6:48,32.864,-116.899,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Lakeside FD,"Circuit 242, P372465",AT&T,12kV,Conductor,Overhead,Yes,5/1/2014,6:48,Contact Between Third Party Facility on Pole and Supply Lines,,,,Weather,
SDG&E,5/13/2014,9:00,32.6405,-116.772,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,P177622,,12kV,Conductor,Overhead,No,,,Wire-Wire Contact,,,,Weather,
SDG&E,5/13/2014,8:35,32.7543,-116.778,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P274777,,240V,Conductor,Overhead,No,,,Contact From Object,,Vegetation,Electric Facility,Other,
SDG&E,5/19/2014,18:30,33.1073,-117.164,Vegetation,Urban,.26 - 9.99 Acres,Fire Agency,Cal Fire,P211709,AT&T,12kV,Conductor,Overhead,Yes,5/19/2014,18:30,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,5/28/2014,15:50,32.9808,-117.2462,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Cal Fire,P313226,,12kV,Conductor,Overhead,No,,,Contact From Object,,Vehicle,Pole,,
SDG&E,5/31/2014,11:30,33.3146,-116.8661,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,P219919,,12kV,Conductor,Overhead,Yes,5/31/2014,11:30,Contact From Object,,Other,Electric Facility,Human Error,
SDG&E,6/4/2014,9:30,33.0191,-116.828,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,"TL 637,Circuit 970, Z416592",none,69kV,Conductor,Overhead,Yes,6/14/2014,9:30,Contact From Object,,Other,Electric Facility,Human Error,
SDG&E,6/17/2014,15:30,32.564,-117.032,Vegetation,Rural,Less Than .25 Acres,Fire Agency,SDFD,P192047,,12kV,Switch,Overhead,Yes,6/17/2014,15:30,Equipment/Facility Failure,Switch,,,None,
